Party Going, Henry Green
After Many a Summer, Aldous Huxley
Finnegans Wake, James Joyce
At Swim-Two-Birds, Flann O'Brien
The Power and the Glory, Graham Greene
For Whom the Bell Tolls, Ernest Hemingway
Strangers and Brothers (to 1970), C. P. Snow
The Aerodrome, Rex Warner
The Horse's Mouth, Joyce Cary
The Razor's Edge, Somerset Maugham
Brideshead Revisited, Evelyn Waugh
Titus Groan, Mervyn Peake
The Victim, Saul Bellow
Under the Volcano, Malcolm Lowry
The Heart of the Matter, Graham Greene
Ape and Essence, Aldous Huxley
The Naked and the Dead, Norman Mailer
No Highway, Nevil Shute
The Heat of the Day, Elizabeth Bowen
Nineteen Eighty-Four, George Orwell
The Body, William Sansom
Scenes from Provincial Life, William Cooper
The Disenchanted, Budd Schulberg
A Dance to the Music of Time (to 1975), Anthony Powell
The Catcher in the Rye, J. D. Salinger
The Chronicle of Ancient Sunlight (to 1969), Henry Williamson
The Caine Mutiny, Herman Wouk
Invisible Man, Ralph Ellison
The Old Man and the Sea, Ernest Hemingway
The Groves of Academe, Mary McCarthy
Wise Blood, Flannery O'Connor
Sword of Honour (to 1961), Evelyn Waugh
The Long Goodbye, Raymond Chandler
Lucky Jim, Kingsley Amis
Room at the Top, John Braine
The Alexandria Quartet (to 1960), Lawrence Durrell
The London Novels (to 1960), Colin MacInnes
The Assistant, Bernard Malamud
The Bell, Iris Murdoch
Saturday Night and Sunday Morning, Alan Sillitoe
The Once and Future King, T. H. White
The Mansion, William Faulkner
Goldfinger, Ian Fleming
Facial Justice, L. P. Hartley
The Balkans Trilogy (to 1965), Olivia Manning
The Mighty and Their Fall, Ivy Compton-Burnett
Catch-22, Joseph Heller
The Fox in the Attic, Richard Hughes
Riders in the Chariot, Patrick White
The Old Men at the Zoo, Angus Wilson
Another Country, James Baldwin
An Error of Judgment, Pamela Hansford Johnson
Island, Aldous Huxley
The Golden Notebook, Doris Lessing
Pale Fire, Vladimir Nabokov
The Girls of Slender Means, Muriel Spark
The Spire, William Golding
Heartland, Wilson Harris
A Single Man, Christopher Isherwood
The Defence, Vladimir Nabokov
Late Call, Angus Wilson
The Lockwood Concern, John O'Hara
The Mandelbaum Gate, Muriel Spark
A Man of the People, Chinua Achebe
The Anti-Death League, Kingsley Amis
Giles Goat-Boy, John Barth
The Late Bourgeois World, Nadine Gordimer
The Last Gentleman, Walker Percy
The Vendor of Sweets, R. K. Narayan
The Image Men, J. B. Priestley
Cocksure, Mordecai Richler
Pavane, Keith Roberts
The French Lieutenant's Woman, John Fowles
Portnoy's Complaint, Philip Roth
Bomber, Len Deighton
Sweet Dreams, Michael Frayn
Gravity's Rainbow, Thomas Pynchon
Humboldt's Gift, Saul Bellow
The History Man, Malcolm Bradbury
The Doctor's Wife, Brian Moore
Falstaff, Robert Nye
How to Save Your Own Life, Erica Jong
Farewell Companions, James Plunkett
Staying On, Paul Scott
The Coup, John Updike
The Unlimited Dream Company, J. G. Ballard
Dubin's Lives, Bernard Malamud
A Bend in the River, V. S. Naipaul
Sophie's Choice, William Stryon
Life in the West, Brian Aldiss
Riddley Walker, Russell Hoban
How Far Can You Go?, David Lodge
A Confederacy of Dunces, John Kennedy Toole
Lanark, Alasdair Gray
Darconville's Cat, Alexander Theroux
The Mosquito Coast, Paul Theroux
Creation, Gore Vidal
The Rebel Angels, Robertson Davies
Ancient Evenings, Norman Mailer
